Date,Open,High,Low,Close,Volume,Market Cap

May 07	 2021,$0.5811,$0.732,$0.5202,$0.6848,$28	615	083	657,$88	680	824	303
May 06	 2021,$0.6528,$0.6636,$0.5451,$0.5808,$18	989	900	291,$75	207	782	074
May 05	 2021,$0.5374,$0.6953,$0.5238,$0.6576,$42	525	098	292,$85	147	176	077
May 04	 2021,$0.4403,$0.606,$0.4008,$0.5413,$38	238	126	181,$70	081	925	802
May 03	 2021,$0.3736,$0.4456,$0.3736,$0.4417,$10	526	649	978,$57	177	802	914
May 02	 2021,$0.3911,$0.4,$0.3649,$0.376,$8	040	406	918,$48	672	985	630
May 01	 2021,$0.3376,$0.3971,$0.3283,$0.393,$10	123	343	703,$50	860	335	491
Apr 30	 2021,$0.3047,$0.3398,$0.303,$0.3376,$5	290	390	982,$43	681	559	535
Apr 29	 2021,$0.3232,$0.3239,$0.2969,$0.3052,$5	027	354	503,$39	485	786	704
Apr 28	 2021,$0.2723,$0.3447,$0.2562,$0.3237,$14	464	343	767,$41	876	610	359
Apr 27	 2021,$0.2714,$0.2796,$0.2649,$0.2722,$3	590	611	310,$35	210	893	019
Apr 26	 2021,$0.2512,$0.2805,$0.248,$0.2707,$5	118	886	527,$35	011	409	694
Apr 25	 2021,$0.2698,$0.2888,$0.2263,$0.2511,$6	849	914	675,$32	477	418	138
Apr 24	 2021,$0.2495,$0.2894,$0.2299,$0.2702,$11	057	578	568,$34	944	176	235
Apr 23	 2021,$0.261,$0.2684,$0.1637,$0.2485,$16	165	566	164,$32	134	070	797
Apr 22	 2021,$0.306,$0.3088,$0.2563,$0.261,$11	879	823	706,$33	741	377	335
Apr 21	 2021,$0.317,$0.347,$0.297,$0.3069,$12	723	463	706,$39	679	105	903
Apr 20	 2021,$0.4084,$0.4223,$0.2716,$0.3195,$28	130	646	191,$41	300	434	109
Apr 19	 2021,$0.3205,$0.4318,$0.3091,$0.4073,$30	641	432	779,$52	646	623	418
Apr 18	 2021,$0.2851,$0.3499,$0.2464,$0.3205,$23	464	350	388,$41	417	581	076
Apr 17	 2021,$0.3661,$0.3745,$0.2365,$0.2842,$31	413	404	067,$36	722	073	277
Apr 16	 2021,$0.1816,$0.4377,$0.1805,$0.3659,$69	410	680	685,$47	274	068	218
Apr 15	 2021,$0.1212,$0.1873,$0.1207,$0.1822,$17	916	620	386,$23	540	494	382
Apr 14	 2021,$0.09426,$0.1425,$0.09245,$0.1215,$20	977	679	327,$15	697	925	271
Apr 13	 2021,$0.07068,$0.09518,$0.07068,$0.09344,$7	176	815	090,$12	070	137	895
Apr 12	 2021,$0.07454,$0.07499,$0.06889,$0.07077,$2	687	720	380,$9	139	899	746
Apr 11	 2021,$0.06375,$0.07924,$0.0632,$0.07465,$6	646	627	317,$9	640	258	366
Apr 10	 2021,$0.06159,$0.06507,$0.06082,$0.06384,$1	369	793	118,$8	244	132	101
Apr 09	 2021,$0.06146,$0.06391,$0.0603,$0.06168,$1	060	465	774,$7	964	226	155
Apr 08	 2021,$0.05904,$0.06175,$0.05882,$0.06146,$1	055	257	541,$7	934	992	305
Apr 07	 2021,$0.06445,$0.0673,$0.05764,$0.05903,$2	857	060	849,$7	619	768	371
Apr 06	 2021,$0.05969,$0.06505,$0.05809,$0.06446,$2	608	613	912,$8	319	797	961
Apr 05	 2021,$0.05741,$0.06015,$0.05644,$0.0597,$1	513	832	721,$7	704	287	493
Apr 04	 2021,$0.05578,$0.05811,$0.05529,$0.0574,$938	035	097,$7	407	664	648
Apr 03	 2021,$0.05766,$0.05948,$0.0558,$0.0558,$1	136	931	403,$7	200	412	904
Apr 02	 2021,$0.06197,$0.06225,$0.05733,$0.05766,$2	166	925	111,$7	439	646	120
Apr 01	 2021,$0.05365,$0.07011,$0.05364,$0.06199,$5	816	046	822,$7	996	434	168
Mar 31	 2021,$0.0539,$0.05447,$0.05227,$0.05366,$653	389	282,$6	921	249	082
Mar 30	 2021,$0.05405,$0.05543,$0.0537,$0.0539,$728	906	171,$6	951	867	440
Mar 29	 2021,$0.05368,$0.05465,$0.05318,$0.05405,$537	919	140,$6	970	630	600
Mar 28	 2021,$0.05438,$0.05475,$0.05301,$0.0537,$460	472	975,$6	924	335	588
Mar 27	 2021,$0.05394,$0.05543,$0.05353,$0.05438,$753	844	053,$7	011	100	665
Mar 26	 2021,$0.05143,$0.05403,$0.05133,$0.05395,$776	280	028,$6	955	497	857
Mar 25	 2021,$0.0517,$0.05241,$0.0497,$0.05145,$1	084	214	116,$6	632	093	766
Mar 24	 2021,$0.05353,$0.05649,$0.05124,$0.0517,$934	537	959,$6	664	029	763
Mar 23	 2021,$0.05494,$0.05608,$0.05294,$0.05356,$1	040	781	777,$6	902	245	900
Mar 22	 2021,$0.05726,$0.05773,$0.05491,$0.05496,$696	918	565,$7	082	689	335
Mar 21	 2021,$0.05897,$0.05952,$0.0568,$0.05723,$759	592	996,$7	374	772	308
Mar 20	 2021,$0.05831,$0.06064,$0.05812,$0.05896,$1	012	934	488,$7	596	414	495
Mar 19	 2021,$0.05738,$0.05972,$0.0566,$0.05833,$964	747	809,$7	514	154	611
Mar 18	 2021,$0.05764,$0.05883,$0.05414,$0.05738,$909	777	445,$7	391	550	949
Mar 17	 2021,$0.05861,$0.05887,$0.05647,$0.05765,$861	926	643,$7	425	583	380
Mar 16	 2021,$0.05709,$0.05892,$0.05549,$0.05861,$1	393	771	913,$7	547	720	122
Mar 15	 2021,$0.05853,$0.05969,$0.05514,$0.05709,$1	738	710	876,$7	351	218	571
Mar 14	 2021,$0.06238,$0.06305,$0.05859,$0.05859,$2	752	132	530,$7	544	115	603
Mar 13	 2021,$0.05535,$0.06243,$0.05476,$0.06243,$1	869	833	076,$8	037	692	870
Mar 12	 2021,$0.05592,$0.05698,$0.05451,$0.05535,$1	287	767	221,$7	125	032	152
Mar 11	 2021,$0.05598,$0.0567,$0.0545,$0.05592,$1	233	383	425,$7	197	497	882
Mar 10	 2021,$0.05796,$0.05862,$0.05469,$0.056,$1	534	489	620,$7	207	816	086
Mar 09	 2021,$0.0621,$0.06227,$0.05605,$0.058,$2	466	159	943,$7	463	686	738




