Symbol,Company,EarningTime,ExpectedEPS

PSX,Phillips 66,Before Market Open,-1.4
PSXP,Phillips 66 Partners LP,Before Market Open,0.81
AZMCF,Arizona Metals Corp,After Market Close,-
AVNT,Avient Corp,Before Market Open,0.72
ABBV,Abbvie Inc,Before Market Open,2.83
ASIX,AdvanSix Inc,Before Market Open,0.71
ANFIF,Amira Nature Foods Ltd,Before Market Open,-
ANGVF,Angus Gold Inc,After Market Close,-
ARVN,Arvinas Inc,Before Market Open,-0.82
AON,Aon PLC,4.05
FNMA,Federal National Mortgage Association,Before Market Open,-
ALXN,Alexion Pharmaceuticals Inc,Before Market Open,3.16
QSR,Restaurant Brands International Inc,Before Market Open,-
NOBDF,North Bud Farms Inc,Before Market Open,-
PBI,Pitney Bowes Inc,Before Market Open,0.04
ESXB,Community Bankers Trust Corp,Before Market Open,0.18
B,Barnes Group Inc,Before Market Open,0.31
NWL,Newell Brands Inc,Before Market Open,0.13
BCPC,Balchem Corp,Before Market Open,0.84
ESSA,ESSA Bancorp Inc,After Market Close,0.38
BYSI,BeyondSpring Inc,Before Market Open,-
NWHM,New Home Company Inc,Before Market Open,-
CPXWF,Capital Power Corp,Before Market Open,-
CVEO,Civeo Corp,Before Market Open,-0.56
PIPR,Piper Sandler Companies,Before Market Open,3.12
CRI,Carter's Inc,Before Market Open,0.32
HUN,Huntsman Corp,Before Market Open,0.59
FTRCQ,Frontier Communications Corp,Before Market Open,-
CHTR,Charter Communications Inc,4.26
XOM,Exxon Mobil Corp,0.59
CCM,Concord Medical Services Holdings Ltd,After Market Close,-
CCM,Concord Medical Services Holdings Ltd,After Market Close,-
CCM,Concord Medical Services Holdings Ltd,After Market Close,-
CL,Colgate-Palmolive Co,Before Market Open,0.01
JCI,Johnson Controls International PLC,Before Market Open,0.49
GT,Goodyear Tire & Rubber Co,Before Market Open,0.09
WY,Weyerhaeuser Co,Before Market Open,0.91
POR,Portland General Electric Co,Before Market Open,0.92
IRMD,IRadimed Corp,Before Market Open,0.1
CLX,Clorox Co,Before Market Open,1.48
CBOE,Cboe Global Markets Inc,Before Market Open,1.4
WPC,WP Carey Inc,Before Market Open,0.72
CVX,Chevron Corp,Before Market Open,0.9
CCLP,CSI Compressco LP,Before Market Open,-0.3
TWIN,Twin Disc Inc,Before Market Open,-0.12
EEX,Emerald Holding Inc,Before Market Open,0.25
PFS,Provident Financial Services Inc,Before Market Open,0.44
SBFG,SB Financial Group Inc,After Market Close,-
TRRNF,Tornado Global Hydrovacs Ltd,-
MGP,MGM Growth Properties LLC,Before Market Open,0.32
GWW,W W Grainger Inc,4.3
IESC,IES Holdings Inc,Before Market Open,-
SLCA,U.S. Silica Holdings Inc,Before Market Open,-0.28
JELD,JELD-WEN Holding Inc,Before Market Open,0.2
HRC,Hill-Rom Holdings Inc,Before Market Open,1.43
LHX,L3harris Technologies Inc,Before Market Open,2.94
ITW,Illinois Tool Works Inc,1.9
OFIX,Orthofix Medical Inc,Before Market Open,0.02
ODT,Odonate Therapeutics Inc,Before Market Open,-0.81
IMO,Imperial Oil Ltd,Before Market Open,-
WETF,Wisdom Tree Investments Inc,0.07
LYB,LyondellBasell Industries NV,Before Market Open,2.59
PNM,PNM Resources Inc,Before Market Open,0.2
VSQTF,Victory Square Technologies Inc,Time Not Supplied,-
OIIM,O2micro International Ltd,Before Market Open,0.09
LAZ,Lazard Ltd,Before Market Open,0.89
QH,Quhuo Ltd,Before Market Open,-
SHLX,Shell Midstream Partners LP,Before Market Open,0.34
SPCB,Supercom Ltd,Before Market Open,-





